From;To;active_power_in_watt;volume_flow_natural_gas_in_liter_per_min;volume_flow_nitrogen_in_liter_per_min;
27.05.2021 10:44:00;27.05.2021 10:44:01;2719,965087890625;99,150321960449219;1,710027813911438;
27.05.2021 10:44:01;27.05.2021 10:44:02;2717,741943359375;99,150321960449219;1,710027813911438;
27.05.2021 10:44:02;27.05.2021 10:44:03;2714,244140625;99,150321960449219;1,710027813911438;
27.05.2021 10:44:03;27.05.2021 10:44:04;2718,5537109375;99,150321960449219;1,710027813911438;
27.05.2021 10:44:04;27.05.2021 10:44:05;2729,835693359375;99,150321960449219;1,710027813911438;
27.05.2021 10:44:05;27.05.2021 10:44:06;2728,96923828125;99,150321960449219;1,710027813911438;
27.05.2021 10:44:06;27.05.2021 10:44:07;2706,806640625;99,150321960449219;1,710027813911438;
27.05.2021 10:44:07;27.05.2021 10:44:08;2728,771484375;99,150321960449219;1,710027813911438;
27.05.2021 10:44:08;27.05.2021 10:44:09;1829,5869140625;99,150321960449219;1,710027813911438;
27.05.2021 10:44:09;27.05.2021 10:44:10;1163,2052001953125;99,150321960449219;1,710027813911438;
27.05.2021 10:44:10;27.05.2021 10:44:11;1652,125732421875;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:11;27.05.2021 10:44:12;1597,9356689453125;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:12;27.05.2021 10:44:13;1577,2301025390625;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:13;27.05.2021 10:44:14;1554,2030029296875;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:14;27.05.2021 10:44:15;3823,218505859375;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:15;27.05.2021 10:44:16;4835,98291015625;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:16;27.05.2021 10:44:17;2841,305908203125;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:17;27.05.2021 10:44:18;2809,689208984375;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:18;27.05.2021 10:44:19;2737,537109375;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:19;27.05.2021 10:44:20;2797,240966796875;199,99967956542969;1,7066667079925537;
27.05.2021 10:44:20;27.05.2021 10:44:21;2887,611083984375;200;1,7066667079925537;
27.05.2021 10:44:21;27.05.2021 10:44:22;2760,87841796875;200;1,7066667079925537;
27.05.2021 10:44:22;27.05.2021 10:44:23;2746,96875;200;1,7066667079925537;
27.05.2021 10:44:23;27.05.2021 10:44:24;2743,624267578125;200;1,7066667079925537;
27.05.2021 10:44:24;27.05.2021 10:44:25;2750,80712890625;200;1,7066667079925537;
27.05.2021 10:44:25;27.05.2021 10:44:26;2738,578369140625;200;1,7066667079925537;
27.05.2021 10:44:26;27.05.2021 10:44:27;2733,599609375;200;1,7066667079925537;
27.05.2021 10:44:27;27.05.2021 10:44:28;2741,08544921875;200;1,7066667079925537;
27.05.2021 10:44:28;27.05.2021 10:44:29;2732,47216796875;200;1,7066667079925537;
27.05.2021 10:44:29;27.05.2021 10:44:30;2728,697998046875;200;1,7066667079925537;
27.05.2021 10:44:30;27.05.2021 10:44:31;2736,221435546875;200;1,7001168727874756;
27.05.2021 10:44:31;27.05.2021 10:44:32;2748,485107421875;200;1,7001168727874756;
27.05.2021 10:44:32;27.05.2021 10:44:33;2728,818359375;200;1,7001168727874756;
27.05.2021 10:44:33;27.05.2021 10:44:34;2766,1103515625;200;1,7001168727874756;
27.05.2021 10:44:34;27.05.2021 10:44:35;1872,8197021484375;200;1,7001168727874756;
27.05.2021 10:44:35;27.05.2021 10:44:36;1265,404296875;200;1,7001168727874756;
27.05.2021 10:44:36;27.05.2021 10:44:37;1790,70751953125;200;1,7001168727874756;
27.05.2021 10:44:37;27.05.2021 10:44:38;1584,4296875;200;1,7001168727874756;
27.05.2021 10:44:38;27.05.2021 10:44:39;1470,148681640625;200;1,7001168727874756;
27.05.2021 10:44:39;27.05.2021 10:44:40;1516,4517822265625;200;1,7001168727874756;
27.05.2021 10:44:40;27.05.2021 10:44:41;1644,088623046875;200;1,6999251842498779;
27.05.2021 10:44:41;27.05.2021 10:44:42;3842,294189453125;200;1,6999251842498779;
27.05.2021 10:44:42;27.05.2021 10:44:43;5013,66357421875;200;1,6999251842498779;
27.05.2021 10:44:43;27.05.2021 10:44:44;2906,18212890625;200;1,6999251842498779;
27.05.2021 10:44:44;27.05.2021 10:44:45;2824,19189453125;200;1,6999251842498779;
27.05.2021 10:44:45;27.05.2021 10:44:46;2744,989501953125;200;1,6999251842498779;
27.05.2021 10:44:46;27.05.2021 10:44:47;2800,5673828125;200;1,6999251842498779;
27.05.2021 10:44:47;27.05.2021 10:44:48;2877,0478515625;200;1,6999251842498779;
27.05.2021 10:44:48;27.05.2021 10:44:49;2765,1533203125;200;1,6999251842498779;
27.05.2021 10:44:49;27.05.2021 10:44:50;2747,53515625;200;1,6999251842498779;
27.05.2021 10:44:50;27.05.2021 10:44:51;2754,04443359375;200;1,700054407119751;
27.05.2021 10:44:51;27.05.2021 10:44:52;2745,00537109375;200;1,700054407119751;
27.05.2021 10:44:52;27.05.2021 10:44:53;2734,666748046875;200;1,700054407119751;
27.05.2021 10:44:53;27.05.2021 10:44:54;2732,384765625;200;1,700054407119751;
27.05.2021 10:44:54;27.05.2021 10:44:55;2735,2509765625;200;1,700054407119751;
27.05.2021 10:44:55;27.05.2021 10:44:56;2738,362060546875;200;1,700054407119751;
27.05.2021 10:44:56;27.05.2021 10:44:57;2724,670166015625;200;1,700054407119751;
27.05.2021 10:44:57;27.05.2021 10:44:58;2732,91552734375;200;1,700054407119751;
27.05.2021 10:44:58;27.05.2021 10:44:59;2728,205322265625;200;1,700054407119751;
